var1,var2,test_name,correlation,p_value,significant,alpha,interpretation,strength,direction
sentiment_polarity,sentiment_subjectivity,Coefficiente di correlazione di Pearson,-0.009708766203483647,0.0017648385679562616,True,0.05,"La correlazione è statisticamente significativa (p = 0.0018)
La correlazione è trascurabile e negativa (r = -0.0097)",trascurabile,negativa
sentiment_polarity,stance_score,Coefficiente di correlazione di Pearson,0.34450006806422495,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è moderata e positiva (r = 0.3445)",moderata,positiva
sentiment_polarity,flesch_reading_ease,Coefficiente di correlazione di Pearson,0.030380138489128218,1.274448457029331e-22,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e positiva (r = 0.0304)",trascurabile,positiva
sentiment_polarity,type_token_ratio,Coefficiente di correlazione di Pearson,-0.0003822242720379108,0.9020187817302614,False,0.05,"La correlazione non è statisticamente significativa (p = 0.9020)
La correlazione è trascurabile e negativa (r = -0.0004)",trascurabile,negativa
sentiment_polarity,formal_language_score,Coefficiente di correlazione di Pearson,-0.0050366163242673845,0.1047464015841196,False,0.05,"La correlazione non è statisticamente significativa (p = 0.1047)
La correlazione è trascurabile e negativa (r = -0.0050)",trascurabile,negativa
sentiment_polarity,vocabulary_richness,Coefficiente di correlazione di Pearson,0.002494578048833248,0.421693985967245,False,0.05,"La correlazione non è statisticamente significativa (p = 0.4217)
La correlazione è trascurabile e positiva (r = 0.0025)",trascurabile,positiva
sentiment_polarity,avg_word_length,Coefficiente di correlazione di Pearson,-0.014111885093490161,5.479018012027461e-06,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e negativa (r = -0.0141)",trascurabile,negativa
sentiment_polarity,long_words_ratio,Coefficiente di correlazione di Pearson,-0.025713872449596803,1.1949460972297873e-16,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e negativa (r = -0.0257)",trascurabile,negativa
sentiment_polarity,culture_score,Coefficiente di correlazione di Pearson,0.023235252835345076,7.15971461339183e-14,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e positiva (r = 0.0232)",trascurabile,positiva
sentiment_subjectivity,stance_score,Coefficiente di correlazione di Pearson,0.02082097102387984,1.9866210421673546e-11,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e positiva (r = 0.0208)",trascurabile,positiva
sentiment_subjectivity,flesch_reading_ease,Coefficiente di correlazione di Pearson,0.08083141029791527,6.501649804765369e-150,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e positiva (r = 0.0808)",trascurabile,positiva
sentiment_subjectivity,type_token_ratio,Coefficiente di correlazione di Pearson,0.15735930775133924,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è debole e positiva (r = 0.1574)",debole,positiva
sentiment_subjectivity,formal_language_score,Coefficiente di correlazione di Pearson,0.1385010335849215,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è debole e positiva (r = 0.1385)",debole,positiva
sentiment_subjectivity,vocabulary_richness,Coefficiente di correlazione di Pearson,0.13889063253453357,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è debole e positiva (r = 0.1389)",debole,positiva
sentiment_subjectivity,avg_word_length,Coefficiente di correlazione di Pearson,0.0524598477934507,3.891018302974109e-64,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e positiva (r = 0.0525)",trascurabile,positiva
sentiment_subjectivity,long_words_ratio,Coefficiente di correlazione di Pearson,-0.015757969247709402,3.857940996478003e-07,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e negativa (r = -0.0158)",trascurabile,negativa
sentiment_subjectivity,culture_score,Coefficiente di correlazione di Pearson,0.11682974650056964,5.286630057934e-312,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è debole e positiva (r = 0.1168)",debole,positiva
stance_score,flesch_reading_ease,Coefficiente di correlazione di Pearson,-0.004788768285754763,0.12296801705415783,False,0.05,"La correlazione non è statisticamente significativa (p = 0.1230)
La correlazione è trascurabile e negativa (r = -0.0048)",trascurabile,negativa
stance_score,type_token_ratio,Coefficiente di correlazione di Pearson,0.00864014532087592,0.00538626420745579,True,0.05,"La correlazione è statisticamente significativa (p = 0.0054)
La correlazione è trascurabile e positiva (r = 0.0086)",trascurabile,positiva
stance_score,formal_language_score,Coefficiente di correlazione di Pearson,0.009257312602634196,0.0028658373674471573,True,0.05,"La correlazione è statisticamente significativa (p = 0.0029)
La correlazione è trascurabile e positiva (r = 0.0093)",trascurabile,positiva
stance_score,vocabulary_richness,Coefficiente di correlazione di Pearson,0.010658518490465079,0.0005966667830885904,True,0.05,"La correlazione è statisticamente significativa (p = 0.0006)
La correlazione è trascurabile e positiva (r = 0.0107)",trascurabile,positiva
stance_score,avg_word_length,Coefficiente di correlazione di Pearson,0.013690351583588532,1.0348307710033479e-05,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e positiva (r = 0.0137)",trascurabile,positiva
stance_score,long_words_ratio,Coefficiente di correlazione di Pearson,0.0136082873014723,1.1687963278397652e-05,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e positiva (r = 0.0136)",trascurabile,positiva
stance_score,culture_score,Coefficiente di correlazione di Pearson,0.0014781863139020014,0.6339940147598654,False,0.05,"La correlazione non è statisticamente significativa (p = 0.6340)
La correlazione è trascurabile e positiva (r = 0.0015)",trascurabile,positiva
flesch_reading_ease,type_token_ratio,Coefficiente di correlazione di Pearson,0.3648894163184754,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è moderata e positiva (r = 0.3649)",moderata,positiva
flesch_reading_ease,formal_language_score,Coefficiente di correlazione di Pearson,0.22931726119182866,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è debole e positiva (r = 0.2293)",debole,positiva
flesch_reading_ease,vocabulary_richness,Coefficiente di correlazione di Pearson,0.32907584242291466,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è moderata e positiva (r = 0.3291)",moderata,positiva
flesch_reading_ease,avg_word_length,Coefficiente di correlazione di Pearson,-0.2690569269050573,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è debole e negativa (r = -0.2691)",debole,negativa
